date_of_death,new_deaths,cumulative_deaths,data_as_of,data_loaded_at
11/21/2020 12:00:00 AM,0,168,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/22/2020 12:00:00 AM,0,168,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/23/2020 12:00:00 AM,1,169,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/24/2020 12:00:00 AM,1,170,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/25/2020 12:00:00 AM,0,170,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/26/2020 12:00:00 AM,0,170,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/27/2020 12:00:00 AM,0,170,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/28/2020 12:00:00 AM,1,171,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/29/2020 12:00:00 AM,1,172,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/30/2020 12:00:00 AM,1,173,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
12/01/2020 12:00:00 AM,1,174,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
12/02/2020 12:00:00 AM,0,174,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
12/03/2020 12:00:00 AM,1,175,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
12/04/2020 12:00:00 AM,1,176,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
12/05/2020 12:00:00 AM,1,177,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
12/06/2020 12:00:00 AM,0,177,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
